index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	1.tsv	result/homeolike_answer.tsv	344850	9210	812	PDBTrRosetta	16	4	20	344033	5	792	0.8000	0.0246	0.9977	0.0478
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	3.tsv	result/homeolike_answer.tsv	344850	2254	812	PDBTrRosetta	16	4	14	344033	5	798	0.7368	0.0172	0.9977	0.0337
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	0.tsv	result/homeolike_answer.tsv	344850	6117	812	PDBTrRosetta	16	4	2	344033	5	810	0.2857	0.0025	0.9976	0.0049
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	2.tsv	result/homeolike_answer.tsv	344850	25566	812	PDBTrRosetta	16	4	10	344033	5	802	0.6667	0.0123	0.9977	0.0242
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.05	4.tsv	result/homeolike_answer.tsv	344850	7012	812	PDBTrRosetta	16	4	0	344033	5	812	0.0000	0.0000	0.9976	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	2.tsv	result/homeolike_answer.tsv	344850	49685	812	PDBTrRosetta	16	4	4	344033	5	808	0.4444	0.0049	0.9976	0.0097
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	1.tsv	result/homeolike_answer.tsv	344850	79058	812	PDBTrRosetta	16	4	41	344033	5	771	0.8913	0.0505	0.9977	0.0956
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	3.tsv	result/homeolike_answer.tsv	344850	108463	812	PDBTrRosetta	16	4	53	344033	5	759	0.9138	0.0653	0.9978	0.1218
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	0.tsv	result/homeolike_answer.tsv	344850	61631	812	PDBTrRosetta	16	4	46	344033	5	766	0.9020	0.0567	0.9978	0.1066
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.1	4.tsv	result/homeolike_answer.tsv	344850	69176	812	PDBTrRosetta	16	4	59	344033	5	753	0.9219	0.0727	0.9978	0.1347
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	2.tsv	result/homeolike_answer.tsv	344850	153294	812	PDBTrRosetta	16	4	58	344033	5	754	0.9206	0.0714	0.9978	0.1326
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	0.tsv	result/homeolike_answer.tsv	344850	166415	812	PDBTrRosetta	16	4	61	344033	5	751	0.9242	0.0751	0.9978	0.1390
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	1.tsv	result/homeolike_answer.tsv	344850	210978	812	PDBTrRosetta	16	4	61	344033	5	751	0.9242	0.0751	0.9978	0.1390
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	0.tsv	result/homeolike_answer.tsv	344850	20966	812	PDBTrRosetta	16	4	9	344033	5	803	0.6429	0.0111	0.9977	0.0218
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	4.tsv	result/homeolike_answer.tsv	344850	181254	812	PDBTrRosetta	16	4	53	344033	5	759	0.9138	0.0653	0.9978	0.1218
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	4.tsv	result/homeolike_answer.tsv	344850	228681	812	PDBTrRosetta	16	4	63	344033	5	749	0.9265	0.0776	0.9978	0.1432
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	4.tsv	result/homeolike_answer.tsv	344850	23466	812	PDBTrRosetta	16	4	0	344033	5	812	0.0000	0.0000	0.9976	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	2.tsv	result/homeolike_answer.tsv	344850	3260	812	PDBTrRosetta	16	4	0	344033	5	812	0.0000	0.0000	0.9976	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	1.tsv	result/homeolike_answer.tsv	344850	241996	812	PDBTrRosetta	16	4	62	344033	5	750	0.9254	0.0764	0.9978	0.1411
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.15	3.tsv	result/homeolike_answer.tsv	344850	190432	812	PDBTrRosetta	16	4	67	344033	5	745	0.9306	0.0825	0.9978	0.1516
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	2.tsv	result/homeolike_answer.tsv	344850	194150	812	PDBTrRosetta	16	4	62	344033	5	750	0.9254	0.0764	0.9978	0.1411
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	3.tsv	result/homeolike_answer.tsv	344850	10938	812	PDBTrRosetta	16	4	0	344033	5	812	0.0000	0.0000	0.9976	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	0.tsv	result/homeolike_answer.tsv	344850	234172	812	PDBTrRosetta	16	4	63	344033	5	749	0.9265	0.0776	0.9978	0.1432
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	0.tsv	result/homeolike_answer.tsv	344850	220614	812	PDBTrRosetta	16	4	62	344033	5	750	0.9254	0.0764	0.9978	0.1411
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.05	1.tsv	result/homeolike_answer.tsv	344850	49185	812	PDBTrRosetta	16	4	1	344033	5	811	0.1667	0.0012	0.9976	0.0024
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	3.tsv	result/homeolike_answer.tsv	344850	227560	812	PDBTrRosetta	16	4	65	344033	5	747	0.9286	0.0800	0.9978	0.1474
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	1.tsv	result/homeolike_answer.tsv	344850	52461	812	PDBTrRosetta	16	4	49	344033	5	763	0.9074	0.0603	0.9978	0.1132
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	4.tsv	result/homeolike_answer.tsv	344850	33541	812	PDBTrRosetta	16	4	52	344033	5	760	0.9123	0.0640	0.9978	0.1197
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.25	1.tsv	result/homeolike_answer.tsv	344850	242276	812	PDBTrRosetta	16	4	65	344033	5	747	0.9286	0.0800	0.9978	0.1474
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.2	3.tsv	result/homeolike_answer.tsv	344850	232134	812	PDBTrRosetta	16	4	67	344033	5	745	0.9306	0.0825	0.9978	0.1516
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1bj0a3	0.1	3.tsv	result/homeolike_answer.tsv	344850	68756	812	PDBTrRosetta	16	4	49	344033	5	763	0.9074	0.0603	0.9978	0.1132
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo_unfiltered/homeo_result_d1a6ia1	0.3	0.tsv	result/homeolike_answer.tsv	344850	273204	812	PDBTrRosetta	16	4	61	344033	5	751	0.9242	0.0751	0.9978	0.1390
