index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	1.tsv	result/homeolike_answer.tsv	344850	665	812	PDBTrRosetta	16	4	45	343418	620	767	0.0677	0.0554	0.9960	0.0609
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	2.tsv	result/homeolike_answer.tsv	344850	1261	812	PDBTrRosetta	16	4	23	342800	1238	789	0.0182	0.0283	0.9941	0.0222
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	1.tsv	result/homeolike_answer.tsv	344850	166	812	PDBTrRosetta	16	4	20	343892	146	792	0.1205	0.0246	0.9973	0.0409
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	2.tsv	result/homeolike_answer.tsv	344850	480	812	PDBTrRosetta	16	4	3	343561	477	809	0.0063	0.0037	0.9963	0.0046
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	0.tsv	result/homeolike_answer.tsv	344850	90	812	PDBTrRosetta	16	4	2	343950	88	810	0.0222	0.0025	0.9974	0.0044
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	3.tsv	result/homeolike_answer.tsv	344850	0	812	PDBTrRosetta	16	4	0	344038	0	812	NaN	0.0000	0.9976	NaN
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	4.tsv	result/homeolike_answer.tsv	344850	292	812	PDBTrRosetta	16	4	57	343803	235	755	0.1952	0.0702	0.9971	0.1033
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	0.tsv	result/homeolike_answer.tsv	344850	4069	812	PDBTrRosetta	16	4	63	340032	4006	749	0.0155	0.0776	0.9862	0.0258
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.15	3.tsv	result/homeolike_answer.tsv	344850	5365	812	PDBTrRosetta	16	4	67	338740	5298	745	0.0125	0.0825	0.9825	0.0217
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	4.tsv	result/homeolike_answer.tsv	344850	0	812	PDBTrRosetta	16	4	0	344038	0	812	NaN	0.0000	0.9976	NaN
