index	query	fraction	rep	answer	total	result_len	answer_len	type	nbin_dist	nbin_angle	tp	tn	fp	fn	precision	recall	accuracy	f1_score
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	3.tsv	result/homeolike_answer.tsv	344850	2254	812	PDBTrRosetta	16	4	119	341903	2135	693	0.0528	0.1466	0.9918	0.0776
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	0.tsv	result/homeolike_answer.tsv	344850	6117	812	PDBTrRosetta	16	4	12	337933	6105	800	0.0020	0.0148	0.9800	0.0035
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	4.tsv	result/homeolike_answer.tsv	344850	7012	812	PDBTrRosetta	16	4	12	337038	7000	800	0.0017	0.0148	0.9774	0.0031
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	1.tsv	result/homeolike_answer.tsv	344850	9210	812	PDBTrRosetta	16	4	62	334890	9148	750	0.0067	0.0764	0.9713	0.0124
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.05	2.tsv	result/homeolike_answer.tsv	344850	25566	812	PDBTrRosetta	16	4	171	318643	25395	641	0.0067	0.2106	0.9245	0.0130
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	2.tsv	result/homeolike_answer.tsv	344850	49685	812	PDBTrRosetta	16	4	85	294438	49600	727	0.0017	0.1047	0.8541	0.0034
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	0.tsv	result/homeolike_answer.tsv	344850	61631	812	PDBTrRosetta	16	4	145	282552	61486	667	0.0024	0.1786	0.8198	0.0046
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	4.tsv	result/homeolike_answer.tsv	344850	69176	812	PDBTrRosetta	16	4	164	275026	69012	648	0.0024	0.2020	0.7980	0.0047
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	1.tsv	result/homeolike_answer.tsv	344850	79058	812	PDBTrRosetta	16	4	215	265195	78843	597	0.0027	0.2648	0.7696	0.0054
scop_benchmark/ver2_08/pdbtr/merged	result/scope_homeo/homeo_result_d1a6ia1	0.1	3.tsv	result/homeolike_answer.tsv	344850	108463	812	PDBTrRosetta	16	4	338	235913	108125	474	0.0031	0.4163	0.6851	0.0062
